000400500,040010076,098007104,000280490,000903000,039074000,403100760,710030040,006008000
170600000,003000060,680057000,006014800,010805070,002730100,000570029,060000400,000003051
009500020,100008009,000002004,036800400,005000800,008004210,600400000,300100005,070005600
904032000,080607000,030040800,010000005,605000709,800000060,008090010,000204050,000360908
030009000,650300701,000060300,700000402,302704806,405000007,004080000,503002084,000100060
000600009,014000250,080120000,000000695,002040700,961000000,000097060,027000910,800002000
500300000,020000000,009806305,047209150,000000000,082103640,801607200,000000090,000002001
000009020,500070069,007400005,010700806,035000910,806005070,300001700,150090008,070800000
030002001,000400070,100060084,705000000,310509068,000000305,420050006,080001000,600800030
009080010,003500640,008600000,980000000,206000903,000000056,000004800,064001300,030020500
100005000,207000300,000300046,000010820,302050409,098020000,950007000,003000904,000600005
000800000,200059460,080007050,906010000,020070080,000090304,060700030,051940007,000003000
050003000,002004100,009200006,706008520,000601000,098400701,800009400,004800600,000500080
200907084,000200530,608040000,006000102,010000040,704000900,000020306,069001000,420603005
030090015,000065000,000100009,019004008,020000050,800900320,400001000,000520000,560070080
300100460,040230080,000090100,800901540,601407308,094503006,005040000,010059070,063002004
000006020,106000007,789500000,000400003,010907050,600008000,000009174,200000809,090800000
000900016,010000034,000018000,008400501,000705000,906001700,000120000,230000090,680004000
000001000,030540809,007900040,100850600,040000090,009064001,010002500,304015020,000300000
032100000,705604000,040080070,400000360,250000089,079000005,060050040,000206108,000003590
630900007,005200360,000000241,000500810,000000000,098003000,426000000,073001600,900006034
002076080,360008200,870000100,900200005,000040000,500001004,001000093,005800062,090730500
800600000,130070084,000001709,004000008,305408907,900000200,608900000,540030096,000004002
130500040,702004000,600170000,900000050,215407693,070000004,000051009,000600408,020009036
050900730,203170000,009000204,100000500,000209000,008000007,604000100,000083902,082001050
900007300,000050004,460230000,600090087,030705010,740060005,000076029,500080000,006100003
206010043,000000160,001006709,005200000,000697000,000004600,102900300,068000000,570020806
059301000,103007600,078006100,300900006,000000000,700008004,007800510,005700409,000605280
061280004,007000000,480070000,020005460,000902000,096400030,000090082,000000700,900051340
200000089,040039060,009068000,080720000,002000700,000081030,000890300,090350070,860000004
000500613,000000800,000193004,028000000,040901050,000000160,500386000,003000000,469002000
800420000,200100589,700000100,000703400,010000070,006904000,005000008,187005003,000047001
720090001,000000608,080501037,090002073,000000000,570300010,260103080,807000000,900080024
000006040,100230080,609540000,000900301,400000006,908001000,000065207,020019008,050800000
801900000,000082930,000050100,280009000,037805690,000300082,002070000,045290000,000006201
079004000,000500008,000200170,090800031,017000980,430009060,045001000,300005000,000400610
000000085,870000020,005490060,050060003,300205009,600010050,080049500,030000098,760000000
015000403,230140700,000200000,300600008,008000900,600007004,000008000,001059032,903000540
000087090,100000200,900030005,500006048,040000010,780900003,400010006,001000002,050670000
000002370,034070000,007015002,040000009,601000705,500000030,300140900,000080650,076200000
000900807,000100000,509000003,005408106,023000940,608209300,800000509,000006000,904002000
090005040,102000000,500400100,601074008,300209007,900510304,006002003,000000705,070900080
030002000,002040170,700100000,063054700,005907600,007680450,000006002,059070300,000500040
400600000,053170000,089000030,860005000,005000700,000300048,030000680,000037950,000002001
001020300,004000080,090080005,300002060,100703008,060900002,500030040,010000800,003070200
000000540,306470000,008100000,270500906,000020000,809004035,000009700,000087304,093000000
000000679,000600005,670008304,008009001,100050007,500200400,205100068,700002000,916000000
000070009,453869000,090003000,508036007,070000030,300720508,000600080,000518263,800090000
003006047,010300000,400010003,000072800,020000070,006590000,600030009,000004080,950700600
000005010,510300020,009000004,800203000,071080560,000506008,100000600,020007031,050600000
018000000,003601009,600000040,109006200,050807090,002300405,030000007,500904800,000000350
200090000,000800760,000204001,030745090,004000200,070162050,500908000,028001000,000070005
030705009,000000004,208400700,004200030,010040020,020006400,007002306,100000000,800603050
000042870,010800063,000500009,940300000,006000900,000005024,100006000,650008030,094230000
003510700,004007000,580009001,218000000,300000008,000000145,700800063,000900800,002035400
040030008,006000024,000009300,001050003,003704800,800090500,009600000,310000900,700020080
500000802,100400000,000520046,000300698,010000030,839007000,760085000,000006007,902000003
360000100,020000008,000516000,090105040,200090007,050204080,000631000,500000090,008000014
200804500,045007000,000000134,060090001,400000002,700080050,378000000,000700390,006508007
100030020,240510007,370000050,000100000,410307086,000004000,020000049,600075032,050090001
000007509,000200000,000300140,010403006,320000095,400705020,036008000,000004000,904600000
395200700,068007009,000000030,680002001,200674008,900800062,020000000,500700890,009005217
007002463,000000000,030740002,500010600,003405700,004060001,300074020,000000000,986200300
000000006,106245090,009008005,004072001,008000600,700680900,800300500,020756809,900000000
900400008,410008000,700090400,030700069,007000500,840006010,001030007,000500081,600002003
170080090,608000000,040700005,010020000,502090108,000030040,900002060,000000507,080060021
600000095,030049200,009260100,004012000,000000000,000450300,001086500,006930040,780000006
005000000,006003050,008500041,090300120,007108600,081006070,750002300,010600500,000000700
